"","player","team","position","points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games_played","efficiency","salary"
"220","Jerian Grant","NYK","PG",5.60526315789474,1.88157894736842,2.32894736842105,0.657894736842105,0.131578947368421,-3.11842105263158,-0.355263157894737,-1.14473684210526,76,1.18386822343469,1572360
"221","Jerryd Bayless","MIL","SG",10.4038461538462,2.71153846153846,3.13461538461538,0.903846153846154,0.211538461538462,-4.84615384615385,-0.384615384615385,-1.40384615384615,52,1.3212598809946,3e+06
"222","Jimmer Fredette","NOP","SG",0.5,0,0.25,0.25,0,-0.75,0,-0.25,4,-0.783658398322299,54812
"223","Jimmer Fredette","NYK","SG",3.5,0,0,0,0,0,-0.5,-0.5,2,1.70643444016813,59731
"224","Jimmy Butler","CHI","SG",20.8805970149254,5.34328358208955,4.7910447761194,1.64179104477612,0.641791044776119,-8.43283582089552,-1.19402985074627,-1.97014925373134,67,3.99737677236838,15260000
"225","Joakim Noah","CHI","C",4.27586206896552,8.79310344827586,3.79310344827586,0.620689655172414,1,-2.82758620689655,-0.793103448275862,-1.79310344827586,29,2.00126525219263,13400000
"226","Jodie Meeks","DET","SG",7.33333333333333,1.66666666666667,1,0,0,-4.33333333333333,0,-0.333333333333333,3,-0.509296379800173,6270000
"227","Joe Ingles","UTA","SF",4.22222222222222,1.8641975308642,1.18518518518519,0.679012345679012,0.0493827160493827,-2.06172839506173,-0.0617283950617284,-0.802469135802469,81,1.97327846589929,2250000
"228","Joe Johnson","BRK","SF",11.7719298245614,3.92982456140351,4.07017543859649,0.701754385964912,0.0350877192982456,-6.33333333333333,-0.280701754385965,-2.03508771929825,57,4.34551019996886,24894863
"229","Joe Johnson","MIA","SF",13.375,2.83333333333333,3.58333333333333,0.875,0.0833333333333333,-5.04166666666667,-0.333333333333333,-1.79166666666667,24,7.22648049463827,414481
"230","Joel Anthony","DET","C",0.947368421052632,1.10526315789474,0.0526315789473684,0.105263157894737,0.631578947368421,-0.210526315789474,-0.105263157894737,-0.105263157894737,19,1.01049496829251,2500000
"231","Joffrey Lauvergne","DEN","C",7.88135593220339,4.91525423728814,0.949152542372881,0.220338983050847,0.254237288135593,-3.13559322033898,-0.11864406779661,-0.915254237288136,59,4.96241293813983,1709720
"232","John Henson","MIL","C",6.96491228070175,3.87719298245614,0.947368421052632,0.315789473684211,1.91228070175439,-2.2280701754386,-0.842105263157895,-1.12280701754386,57,4.2625804145656,2943221
"233","John Jenkins","PHO","SG",4.95454545454545,1.59090909090909,1.18181818181818,0.227272727272727,0.0454545454545455,-2.18181818181818,-0.136363636363636,-0.727272727272727,22,0.689496308087941,981000
"234","John Wall","WAS","PG",19.8831168831169,4.92207792207792,10.2467532467532,1.88311688311688,0.766233766233766,-10.0909090909091,-0.935064935064935,-4.12987012987013,77,6.44966690650762,15851950
"235","Johnny O'Bryant","MIL","PF",3.03030303030303,2.66666666666667,0.484848484848485,0.272727272727273,0.121212121212121,-1.86363636363636,-0.196969696969697,-0.46969696969697,66,0.818956461807409,845059
"236","Jon Leuer","PHO","PF",8.46268656716418,5.56716417910448,1.07462686567164,0.567164179104478,0.447761194029851,-3.61194029850746,-0.358208955223881,-1.11940298507463,67,4.0053894474085,1035000
"237","Jonas Jerebko","BOS","PF",4.35897435897436,3.69230769230769,0.794871794871795,0.256410256410256,0.307692307692308,-2.15384615384615,-0.217948717948718,-0.666666666666667,78,1.86893339338346,5e+06
"238","Jonas Valanciunas","TOR","C",12.8,9.11666666666667,0.7,0.416666666666667,1.33333333333333,-3.88333333333333,-0.85,-1.41666666666667,60,8.61196988889339,4660482
"239","Jonathon Simmons","SAS","SG",6.01818181818182,1.74545454545455,1.05454545454545,0.436363636363636,0.0909090909090909,-2.18181818181818,-0.418181818181818,-0.963636363636364,55,0.988594716066518,525093
"240","Jordan Adams","MEM","SG",3.5,1,1.5,1.5,0,-2,-1,-1,2,-1.49034315286069,1404600
"241","Jordan Clarkson","LAL","SG",15.506329113924,3.9620253164557,2.43037974683544,1.11392405063291,0.0886075949367089,-7.88607594936709,-0.506329113924051,-1.70886075949367,79,0.14470515586858,845059
"242","Jordan Farmar","MEM","PG",9.16666666666667,2.08333333333333,3.08333333333333,1.25,0.166666666666667,-4.83333333333333,0,-1.5,12,3.13084001765598,191456
"243","Jordan Hamilton","NOP","SF",11.3636363636364,5.63636363636364,2.27272727272727,0.727272727272727,0.272727272727273,-6.09090909090909,-0.636363636363636,-1.54545454545455,11,3.7353232301365,119462
"244","Jordan Hill","IND","C",8.83561643835616,6.17808219178082,1.19178082191781,0.493150684931507,0.506849315068493,-3.71232876712329,-0.493150684931507,-1.26027397260274,73,4.93564355937921,4e+06
"245","Jordan McRae","CLE","PG",4.13333333333333,0.8,1,0,0.0666666666666667,-1.93333333333333,-0.266666666666667,-0.6,15,0.914648664482873,172972
"246","Jordan McRae","PHO","PG",5.28571428571429,1.14285714285714,1.42857142857143,0.428571428571429,0,-2.14285714285714,-0.428571428571429,-0.857142857142857,7,1.63645943581504,61776
"247","Jordan Mickey","BOS","PF",1.3125,0.8125,0.0625,0,0.6875,-0.875,-0.3125,-0.0625,16,0.183263332292948,1200000
"248","Jorge Gutierrez","CHO","PG",1.83333333333333,0.583333333333333,1.41666666666667,0.25,0,-0.416666666666667,-0.0833333333333333,-0.5,12,1.40509100250613,301444
"249","Jose Calderon","NYK","PG",7.55555555555556,3.18055555555556,4.15277777777778,0.875,0.0972222222222222,-3.41666666666667,-0.0833333333333333,-1.20833333333333,72,4.05676490398103,7402812
"250","Josh Huestis","OKC","PF",2.8,2,0,0.2,0.4,-1.4,-0.8,-0.6,5,0.0338554741618387,1140240
"251","Josh McRoberts","MIA","PF",3.57142857142857,2.5,1.92857142857143,0.428571428571429,0.166666666666667,-2.21428571428571,-0.285714285714286,-0.714285714285714,42,1.24981908797689,5543725
"252","Josh Richardson","MIA","SG",6.55769230769231,2.05769230769231,1.40384615384615,0.692307692307692,0.480769230769231,-2.86538461538462,-0.403846153846154,-0.673076923076923,52,1.00698904867855,525093
"253","Josh Smith","HOU","PF",6.56521739130435,2.91304347826087,2.08695652173913,0.695652173913043,0.565217391304348,-4.82608695652174,-0.565217391304348,-1.56521739130435,23,0.446739625596388,1499000
"254","Jrue Holiday","NOP","PG",16.7538461538462,3,6.01538461538462,1.35384615384615,0.338461538461538,-8.07692307692308,-0.523076923076923,-2.56923076923077,65,5.64764394931608,10595507
"255","Julius Randle","LAL","PF",11.3456790123457,10.2345679012346,1.77777777777778,0.654320987654321,0.358024691358025,-5.88888888888889,-0.950617283950617,-1.83950617283951,81,3.75255698795761,3132240
